zipcode,median_income,total_pop,num_male,num_female,num_white,num_black,num_native,num_asian,num_pacific,num_other,num_mixed,num_hispanic,top_5_percent
01770,216406,4324,1970,2354,3692,24,0,337,0,27,244,52,0
01772,163438,9551,4536,5015,7572,44,0,1578,0,166,191,280,0
01773,156607,4847,2406,2441,4478,18,0,186,0,0,165,169,0
01775,143711,7159,3602,3557,5861,147,0,547,0,333,271,67,0
01776,195073,19248,9849,9399,16150,207,0,2077,27,71,716,481,0
01778,192961,14038,6883,7155,11691,97,0,1628,0,37,585,791,0
01801,92084,40297,19809,20488,32030,1913,8,4081,0,1117,1148,2526,0
01803,121433,28077,13623,14454,21362,684,53,4587,95,95,1201,418,0
01810,153315,36098,17344,18754,28223,835,32,5455,0,228,1325,2748,0
01821,116445,32936,16294,16642,27610,1349,21,2616,47,346,947,1161,0
01824,123087,25762,12288,13474,22701,233,18,2093,0,152,565,795,0
01826,92533,31389,15723,15666,27556,1255,0,1173,31,303,1071,2012,0
01827,158523,3374,1746,1628,3223,0,0,96,0,2,53,63,0
01830,62318,26225,12893,13332,19471,1107,33,484,0,2682,2448,6995,0
01832,67016,23736,11195,12541,18589,462,0,255,19,2692,1719,5964,0
01833,122600,8733,4214,4519,8347,63,26,55,0,55,187,309,0
01834,111056,6815,3308,3507,6699,0,15,14,0,14,73,181,0
01835,84638,13822,6765,7057,11650,485,0,100,0,1256,331,1857,0
01840,25077,5416,2445,2971,2099,275,37,0,0,2641,364,4657,0
01841,45486,49437,24871,24566,23242,2586,278,492,0,18613,4226,42673,0
01843,54283,25170,12716,12454,12401,1376,10,1212,0,8414,1757,17557,0
01844,83532,50517,24088,26429,35009,2609,45,2379,0,7177,3298,15246,0
01845,113916,31262,15632,15630,26645,955,30,1818,0,731,1083,2547,0
01850,55837,15950,7971,7979,9960,2888,0,1472,73,1096,461,3842,0
01851,69548,31558,15738,15820,13211,2360,494,12802,21,1109,1561,3732,0
01852,65445,35033,16990,18043,24517,2615,261,4371,80,1555,1634,6336,0
01854,55461,28770,14279,14491,19456,2070,24,4941,41,1069,1169,6024,0
01860,79909,6926,3492,3434,6684,1,0,83,0,71,87,158,0
01862,107964,10519,5618,4901,7899,826,0,511,0,1002,281,1112,0
01863,112568,9477,4308,5169,8066,181,0,895,3,144,188,369,0
01864,123042,15672,7794,7878,14554,134,0,673,0,51,260,254,0
01867,131515,25236,12348,12888,22674,180,9,1344,0,323,706,899,0
01876,105480,30973,14340,16633,28352,1011,9,865,0,178,558,679,0
01879,114313,12511,6201,6310,10719,94,0,1313,0,71,314,623,0
01880,104609,26704,13157,13547,25266,230,7,688,0,57,456,900,0
01886,149437,24566,11888,12678,17957,149,35,5673,0,250,502,630,0
01887,133873,23390,11844,11546,20340,681,0,1272,0,141,956,286,0
01890,173058,22760,10783,11977,17928,205,135,3303,6,399,784,525,0
01901,26403,2370,1194,1176,801,662,54,12,0,492,349,1031,0
01902,52834,49472,24413,25059,20574,8064,152,2481,47,12846,5308,24766,0
01904,87639,17928,9019,8909,13446,764,39,703,36,2085,855,4771,0
01905,62623,24369,12738,11631,11350,4052,114,2502,0,4485,1866,9952,0
